idx,wid,content,uid,uname,likes,created_time,keyword
130,Ii7MN70E2,悲哀，惋惜。,6466185039,若有所思6466185039,0,今天 02:07,高以翔
131,Ii7MN70E2,回复@天生黑变白的小小白:哪个行业没有磕磕碰碰？要是想选择安逸，那就不要出来混,7194311983,Y68001201208,0,今天 02:04,高以翔
132,Ii7MN70E2,那,iven,Official余Sir,0,今天 02:04,高以翔
133,Ii7MN70E2,英年早逝,5605712448,燕南飞君,0,今天 02:03,高以翔
134,Ii7MN70E2,,5896702429,SGInternazionale,0,今天 02:03,高以翔
135,Ii7MN70E2,可惜了,5605712448,燕南飞君,0,今天 02:03,高以翔
136,Ii7MN70E2,默哀。。。。。,sides36,gtxy1996,0,今天 02:03,高以翔
137,Ii7MN70E2,，,5545526549,恶魔无情密密麻麻,0,今天 02:02,高以翔
138,Ii7MN70E2,,6558464041,孙大圣210,0,今天 02:02,高以翔
139,Ii7MN70E2,,7069181777,风迥路转,0,今天 02:00,高以翔
140,Ii7MN70E2,当我知道他去世后，我一直都不相信高以翔已经走了,5459225794,蓝色精灵My,0,今天 01:59,高以翔
141,Ii7MN70E2,。。,7340765661,欠你一个你34535,0,今天 01:59,高以翔
142,Ii7MN70E2,打卡,2883775893,jasmine_彭微整形工作室,0,今天 01:59,高以翔
143,Ii7MN70E2,,6462112625,丽丽7884,0,今天 01:59,高以翔
144,Ii7MN70E2,请你珍惜我，不要再打我@CYR小陈同学,2659500801,杨淼Mmic,0,今天 01:59,高以翔
145,Ii7MN70E2,一路走好🙏,3645266490,想吃小丑怪,0,今天 01:58,高以翔
146,Ii7MN70E2,,7344547245,唐糖想吃糖678,0,今天 01:58,高以翔
147,Ii7MN70E2,。。,6622816933,ych0813016,0,今天 01:56,高以翔
148,Ii7MN70E2,浙江卫视该死,2837990180,岁月横行,0,今天 01:55,高以翔
149,Ii7MN70E2,。。,7301935458,王得傲小朋友,0,今天 01:55,高以翔
150,Ii7MN70E2,,3144629181,奈何桥721,0,今天 01:54,高以翔
151,Ii7MN70E2,!,6175844258,春秋战国娱乐周刊,0,今天 01:53,高以翔
152,Ii7MN70E2,吸血鬼日记 评论配图,5682722221,zhangchujie杰仔,0,今天 01:52,高以翔
153,Ii7MN70E2,那写字楼里面加班猝死的比比皆是难道都要所有公司没有加班制度吗？社会怎么运行，你们这些人只会放马后炮，一个个看节目的时候笑的倒是比猪都大声，真的对这种键盘侠无语至极！,3174640407,无重力飞行的荔枝,1,今天 01:50,高以翔
154,Ii7MN70E2,能不能不要这么盲目的说人家电视台怎么怎么不好。这种综艺节目大白天那么多粉丝还有上班的人根本没到控制，跑男好多也都是半夜录制的，就像我家有个亲戚，明明知道自己心脏不好非要过年喝酒最后两个小时不到人就没了，自己平时不知道多注意身体，当明星想要吸引流量，很多节目都是录制到深夜，,3174640407,无重力飞行的荔枝,1,今天 01:50,高以翔
155,Ii7MN70E2,,5970559412,思雨的狗腿子,0,今天 01:49,高以翔
156,Ii7MN70E2,世事无常,5624183496,强颜欢笑20160213,0,今天 01:49,高以翔
157,Ii7MN70E2,,6585492263,Cupid-Lu,0,今天 01:47,高以翔
158,Ii7MN70E2,,5448331624,梦中的蝴蝶_804,0,今天 01:46,高以翔
159,Ii7MN70E2,,5239979806,Vcnic6,0,今天 01:46,高以翔
160,Ii7MN70E2,啊,3527524751,酱汁儿肉c,0,今天 01:44,高以翔
161,Ii7MN70E2,,5498810008,蒙i奇qi,0,今天 01:44,高以翔
162,Ii7MN70E2,节哀啊！,1637115444,唯美主义1637115444,0,今天 01:44,高以翔
163,Ii7MN70E2,生命安全都是大事,1904245863,禧福汇,0,今天 01:44,高以翔
164,Ii7MN70E2,，,5583042231,莫名姐姐12,0,今天 01:43,高以翔
165,Ii7MN70E2,,6104090434,黑锋锋heitan,0,今天 01:43,高以翔
166,Ii7MN70E2,还真不认识他，多工作一会，不香吗？,5566680745,小镜越,0,今天 01:43,高以翔
167,Ii7MN70E2,。,7312730368,-卑微丹妮,0,今天 01:43,高以翔
168,Ii7MN70E2,哈哈,7324841481,我就是我7324841481,0,今天 01:41,高以翔
169,Ii7MN70E2,说不出来的难过，还这么年轻,5611607058,碧青姐姐,0,今天 01:41,高以翔
170,Ii7MN70E2,回复@Mun·:沥川 小天使沥川,6349103147,guoguuguo,0,今天 01:40,高以翔
171,Ii7MN70E2,虽然不是粉 但也难以接受 一路走好,sha,Sasha庄莎莎,0,今天 01:40,高以翔
172,Ii7MN70E2,。,7308530886,Lucky芦芦,0,今天 01:40,高以翔
173,Ii7MN70E2,😔 😔,2892778051,女漢紙萌姐,0,今天 01:39,高以翔
174,Ii7MN70E2,😃 😃 😃 😃 😃 😃,2397049664,阳光舟舟的美好生活,0,今天 01:37,高以翔
175,Ii7MN70E2,🙏,5593699595,MoXiao林,0,今天 01:36,高以翔
176,Ii7MN70E2,.,5682302291,囍你碍你,0,今天 01:34,高以翔
177,Ii7MN70E2,…,6471635858,懒惰的雪宝宝1,0,今天 01:34,高以翔
178,Ii7MN70E2,看一次就想哭，好难受😣,6773430873,i柠檬不萌呢,0,今天 01:33,高以翔
179,Ii7MN70E2,1,6601831782,少年aaa彬,0,今天 01:33,高以翔
180,Ii7MN70E2,惋惜,7274704154,小田David,0,今天 01:32,高以翔
181,Ii7MN70E2,1,5758880283,该昵称没被占用不用换,0,今天 01:32,高以翔
182,Ii7MN70E2,以后都不要看浙江卫视任何节目就好，让它倒闭吧,6485163893,happy小金527,0,今天 01:32,高以翔
183,Ii7MN70E2,,6868123203,风光198408,0,今天 01:32,高以翔
184,Ii7MN70E2,1,6892760743,樱花引流机器人,0,今天 01:32,高以翔
185,Ii7MN70E2,可惜,eliez,amelie赵,0,今天 01:31,高以翔
186,Ii7MN70E2,1,6332239552,缺失LSLH,0,今天 01:31,高以翔
187,Ii7MN70E2,。,1917833593,戴着眼镜酷下去,0,今天 01:30,高以翔
188,Ii7MN70E2,。,6602176791,如歌好聽,0,今天 01:30,高以翔
189,Ii7MN70E2,,6567594838,新疆舞蹈777,0,今天 01:30,高以翔
190,Ii7MN70E2,好久不见,5517832366,世间的羽,0,今天 01:29,高以翔
191,Ii7MN70E2,已阅读,5230083028,88平平安安,0,今天 01:28,高以翔
192,Ii7MN70E2,……,6797053361,失明86,0,今天 01:28,高以翔
193,Ii7MN70E2,唉……,3478708013,各它阿,0,今天 01:28,高以翔
194,Ii7MN70E2,,7279048122,Wa送每1,0,今天 01:27,高以翔
195,Ii7MN70E2,,6334446968,贾老丁,0,今天 01:26,高以翔
196,Ii7MN70E2,啊,5018801226,妍妍的杂货铺15904241481,0,今天 01:23,高以翔
197,Ii7MN70E2,那么年轻可惜了,6446772042,我的灿烂人生6831,0,今天 01:23,高以翔
198,Ii7MN70E2,,2626405827,静心聆听的我,0,今天 01:23,高以翔
199,Ii7MN70E2,回复@国际撩汉指导师:你情我愿的事情，仅此而已，他们已经得到了应有的报酬，每年400余名警察牺牲，60余名消防人员医生，100多名医务人员猝死，100多名程序员猝死，每年死过几个明星，他们根本不是高危职业，不要过度的强调节目组怎么样，节目组比你更想让他安全，说句难听点的，猝死的基本上都是心脏多少有点疾病的，以上,5697367374,如何养猪mxy,0,今天 01:23,高以翔
200,Ii6s9xVZP,希望他没事！！！（？？？渣浪真的不准备管一下那些头像打擦边球的辣鸡yxh吗？？？）,5272590699,来一打葡萄养乐多,4733,11月27日 08:08,高以翔
201,Ii6s9xVZP,大家一起举报前排,5650688454,·Uranus·,1370,11月27日 08:10,高以翔
202,Ii6s9xVZP,这个节目本身就存在挺大的问题，还“就就跑了跑”聊天记录里的人是多么生性冷漠吗,6653186102,周放的小情人,1211,11月27日 08:07,高以翔
203,Ii6s9xVZP,。。。,6386410307,十格----网络新手作家---多支持,0,11月28日 19:48,高以翔
204,Ii6s9xVZP,。。。。。。。,7341080465,国际ye,0,11月28日 16:53,高以翔
205,Ii6s9xVZP,祝福高以翔早日康复，身体健康！,7074267360,J1n92019,0,11月28日 09:29,高以翔
206,Ii6s9xVZP,我知道了，这眼神这么熟,7074267360,J1n92019,0,11月28日 09:27,高以翔
207,Ii6s9xVZP,好像欧董眼神,7074267360,J1n92019,0,11月28日 09:23,高以翔
208,Ii6s9xVZP,早上好，在梦里见过这个人,7074267360,J1n92019,0,11月28日 09:21,高以翔
209,Ii6s9xVZP,意外太突然！可怜这么年轻的生命,1978570345,林黛薇儿,0,11月28日 09:20,高以翔
210,Ii6s9xVZP,祝平安,3558434125,你闻起来想一个男孩,0,11月28日 08:45,高以翔
211,Ii6s9xVZP,咯,6778507109,xjxhds,0,11月28日 08:32,高以翔
212,Ii6s9xVZP,把,7200312558,-居63198,0,11月28日 08:06,高以翔
213,Ii6s9xVZP,明天和意外那个先来？,6057961083,沙雕网友杨老师,0,11月27日 23:41,高以翔
214,Ii6s9xVZP,我最爱的暖男高大帅气的可爱男神，虽然我是男的但是我是最爱最爱他的，我刚才看到这条他去世消息，仿佛人间崩塌，心碎难过，上天为什么要把我最爱最爱的男神夺走，为什么，我爱他甚是家人，我最爱的男神，求你回来，求你好好的过完美好的生活，我爱你温暖可爱大方善良的男神，高以翔我爱你哭得一塌糊涂,6052996518,可惜没有如果198806,0,11月27日 22:29,高以翔
215,Ii6s9xVZP,这是一条人命啊 你们真以为你们的节目很受人欢迎嘛 好好的一个人 就是你们给耽搁了 我永远失去王沥川了 愤怒啊 难过啊,5131585634,Freedom-Death,0,11月27日 19:06,高以翔
216,Ii6s9xVZP,为什么有心跳了还是没有抢救过来啊,5884076050,从8月1号开始我要减肥了,0,11月27日 17:33,高以翔
217,Ii6s9xVZP,回复@粉红Lily酱:他走了,6200073155,tfboys的破洞裤,0,11月27日 17:17,高以翔
218,Ii6s9xVZP,去世了,5563059415,Libra莹64645,0,11月27日 17:09,高以翔
219,Ii6s9xVZP,一路走好,6714694984,meltrn_hooch,0,11月27日 16:59,高以翔
220,Ii6s9xVZP,,6699547870,安羽兮北岸初晴,0,11月27日 16:28,高以翔
221,Ii6s9xVZP,,7279583239,浮殇若梦孤岛亡魚宦骆,0,11月27日 16:23,高以翔
222,Ii6s9xVZP,,6539760433,田茹云loan,0,11月27日 16:12,高以翔
223,Ii6s9xVZP,优秀！,6360123115,高根爱笑爱生活,0,11月27日 16:07,高以翔
224,Ii6s9xVZP,回复@常藤姑娘:不好意思，我以为是造谣的，因为“我有个朋友”听起来太不靠谱了,5657505092,嗯嗯哈哈哟哟哟,0,11月27日 16:05,高以翔
225,Ii6s9xVZP,,7114376393,陌殇丶Marina,0,11月27日 16:02,高以翔
226,Ii6s9xVZP,,7280078360,鼋郅丶cece,0,11月27日 15:53,高以翔
227,Ii6s9xVZP,,7287141176,霸道范tomli曹,0,11月27日 15:49,高以翔
228,Ii6s9xVZP,超棒！！！,7282584458,固人裂,0,11月27日 15:43,高以翔
229,Ii6s9xVZP,就是啊,6357720918,卡尔高只,0,11月27日 15:38,高以翔
230,Ii6s9xVZP,回复@嗯嗯哈哈哟哟哟:说话前先弄清楚，我是不是真的造谣。,5976820800,常藤姑娘,0,11月27日 15:36,高以翔
231,Ii6s9xVZP,,6352186623,水瓶座的的妈,0,11月27日 15:34,高以翔
232,Ii6s9xVZP,魔怔了,6547091412,泮晓飞易人,0,11月27日 15:29,高以翔
233,Ii6s9xVZP,马一个，好棒,6353234319,曹豫139670,0,11月27日 15:25,高以翔
234,Ii6s9xVZP,这个可以有,7114382516,壹頭丶sbf_,0,11月27日 15:21,高以翔
235,Ii6s9xVZP,,7196439203,嘎的心上人,0,11月27日 15:19,高以翔
236,Ii6s9xVZP,鼓掌,6972551667,我老拉414,0,11月27日 15:15,高以翔
237,Ii6s9xVZP,,6539613401,心已停机_jcnathan,0,11月27日 15:10,高以翔
238,Ii6s9xVZP,转发给我友友们看看，嘿嘿[呵呵],7283493695,SS潇湘竹丶,0,11月27日 15:06,高以翔
239,Ii6s9xVZP,最好的沥川，一路好走,5767336076,Lauous,0,11月27日 15:02,高以翔
240,Ii6s9xVZP,辛苦了,6820267967,冷月无声02941,0,11月27日 15:01,高以翔
241,Ii6s9xVZP,回复@夭二山风风:那不好意思理解错了,5746221299,家0Jasm,0,11月27日 14:58,高以翔
242,Ii6s9xVZP,,6556357794,赫连rectify,0,11月27日 14:57,高以翔
243,Ii6s9xVZP,博主很用心，内容蛮踏实的，所以值得去分享,6541599546,朕好萌_XADt_s,0,11月27日 14:53,高以翔
244,Ii6s9xVZP,霸气,6550282478,魄啡栅_Fii,0,11月27日 14:49,高以翔
245,Ii6s9xVZP,,6321751777,张才出世,0,11月27日 14:45,高以翔
246,Ii6s9xVZP,[淚][淚][淚],6546559836,宇文影韵A7陌上,0,11月27日 14:41,高以翔
247,Ii6s9xVZP,赞?,6679865740,uGy蔡徐坤笪小猫咪_L,0,11月27日 14:36,高以翔
248,Ii6s9xVZP,赞成！！,6862573637,许愿沙22571,0,11月27日 14:31,高以翔
249,Ii6s9xVZP,,6704786332,托瓜少年_Hellolimi6,0,11月27日 14:27,高以翔
250,Ii6s9xVZP,闹呢,6705679759,良人未归时光凉yin,0,11月27日 14:23,高以翔
251,Ii6s9xVZP,,7287975197,先森你演累了么凌香,0,11月27日 14:18,高以翔
252,Ii6s9xVZP,,6541044519,假面公主_bonsonxie,0,11月27日 14:13,高以翔
253,Ii6s9xVZP,回复@chris-jjlv丹:我也接受不了啊，我爱了一整个青春的男神啊，心脏疼，2019.11.27，永失我男神,6185385168,不想长大198302,0,11月27日 14:12,高以翔
254,Ii6s9xVZP,博主看我！,6542347924,华灯初上_perignon,0,11月27日 14:08,高以翔
